Day,Hour,Maximum Occupancy
Monday,6:00,112
Monday,7:00,90
Monday,8:00,90
Monday,9:00,112
Monday,10:00,45
Monday,11:00,112
Monday,12:00,135
Monday,13:00,135
Monday,14:00,135
Monday,15:00,67
Monday,16:00,45
Monday,17:00,67
Monday,18:00,135
Monday,19:00,135
Monday,20:00,135
Monday,21:00,135
Tuesday,6:00,135
Tuesday,7:00,112
Tuesday,8:00,112
Tuesday,9:00,45
Tuesday,10:00,112
Tuesday,11:00,90
Tuesday,12:00,135
Tuesday,13:00,135
Tuesday,14:00,112
Tuesday,15:00,45
Tuesday,16:00,45
Tuesday,17:00,67
Tuesday,18:00,135
Tuesday,19:00,135
Tuesday,20:00,135
Tuesday,21:00,135
Wednesday,6:00,135
Wednesday,7:00,90
Wednesday,8:00,112
Wednesday,9:00,67
Wednesday,10:00,45
Wednesday,11:00,67
Wednesday,12:00,135
Wednesday,13:00,135
Wednesday,14:00,135
Wednesday,15:00,90
Wednesday,16:00,45
Wednesday,17:00,67
Wednesday,18:00,135
Wednesday,19:00,135
Wednesday,20:00,135
Wednesday,21:00,135
Thursday,6:00,135
Thursday,7:00,112
Thursday,8:00,90
Thursday,9:00,112
Thursday,10:00,135
Thursday,11:00,135
Thursday,12:00,135
Thursday,13:00,135
Thursday,14:00,135
Thursday,15:00,67
Thursday,16:00,45
Thursday,17:00,67
Thursday,18:00,135
Thursday,19:00,135
Thursday,20:00,135
Thursday,21:00,135
Friday,6:00,45
Friday,7:00,45
Friday,8:00,67
Friday,9:00,112
Friday,10:00,112
Friday,11:00,90
Friday,12:00,135
Friday,13:00,112
Friday,14:00,112
Friday,15:00,45
Friday,16:00,67
Friday,17:00,135
Friday,18:00,135
Friday,19:00,135
Friday,20:00,135
Friday,21:00,135
Saturday,6:00,135
Saturday,7:00,135
Saturday,8:00,135
Saturday,9:00,135
Saturday,10:00,135
Saturday,11:00,135
Saturday,12:00,135
Saturday,13:00,135
Saturday,14:00,135
Saturday,15:00,135
Saturday,16:00,135
Saturday,17:00,135
Saturday,18:00,135
Saturday,19:00,135
Saturday,20:00,135
Saturday,21:00,135
Sunday,6:00,135
Sunday,7:00,135
Sunday,8:00,135
Sunday,9:00,135
Sunday,10:00,135
Sunday,11:00,135
Sunday,12:00,135
Sunday,13:00,135
Sunday,14:00,135
Sunday,15:00,135
Sunday,16:00,135
Sunday,17:00,135
Sunday,18:00,135
Sunday,19:00,135
Sunday,20:00,135
Sunday,21:00,135
